support 5;support 20;support 40;support 50
0.43414148688316345;0.3640986680984497;0.34656205773353577;0.3536666929721832
0.32532432675361633;0.2422599047422409;0.2495315968990326;0.24617449939250946
0.25866976380348206;0.2380904257297516;0.2261589765548706;0.2196774184703827
0.17004097998142242;0.20102906227111816;0.1947924941778183;0.20444269478321075
0.17004097998142242;0.17048272490501404;0.17107613384723663;0.12967519462108612
0.17004097998142242;0.1493995040655136;0.13315191864967346;0.12967519462108612
0.17004097998142242;0.11040367931127548;0.13315191864967346;0.12967519462108612
0.15883693099021912;0.11040367931127548;0.13192179799079895;0.12967519462108612
0.15883693099021912;0.11040367931127548;0.13192179799079895;0.12967519462108612
0.15883693099021912;0.11040367931127548;0.13192179799079895;0.12967519462108612
0.11831293255090714;0.11040367931127548;0.11466611921787262;0.12967519462108612
0.11831293255090714;0.11040367931127548;0.11466611921787262;0.11546927690505981
0.11831293255090714;0.11040367931127548;0.11466611921787262;0.11546927690505981
0.11831293255090714;0.11040367931127548;0.11466611921787262;0.09578752517700195
0.11831293255090714;0.11040367931127548;0.11466611921787262;0.09578752517700195
